iter	Passed	Remaining
2416	19118	16476
2417	19125	16467
2418	19131	16458
2419	19138	16449
2420	19145	16440
2421	19151	16431
2422	19158	16422
2423	19165	16413
2424	19174	16406
2425	19180	16397
2426	19186	16388
2427	19193	16379
2428	19200	16370
2429	19206	16361
2430	19213	16352
2431	19219	16342
2432	19226	16334
2433	19232	16324
2434	19239	16315
2435	19246	16307
2436	19253	16298
2437	19262	16291
2438	19268	16282
2439	19274	16273
2440	19281	16263
2441	19288	16255
2442	19296	16247
2443	19302	16237
2444	19309	16229
2445	19315	16219
2446	19322	16210
2447	19329	16202
2448	19336	16193
2449	19345	16187
2450	19352	16178
2451	19358	16169
2452	19367	16161
2453	19374	16153
2454	19382	16145
2455	19389	16136
2456	19397	16128
2457	19403	16119
2458	19410	16110
2459	19416	16101
2460	19423	16092
2461	19430	16084
2462	19436	16074
2463	19443	16065
2464	19449	16056
2465	19456	16047
2466	19462	16038
2467	19468	16029
2468	19475	16020
2469	19482	16011
2470	19489	16003
2471	19495	15994
2472	19502	15985
2473	19508	15976
2474	19515	15966
2475	19522	15958
2476	19529	15949
2477	19535	15940
2478	19542	15931
2479	19548	15922
2480	19557	15915
2481	19562	15905
2482	19569	15896
2483	19576	15887
2484	19583	15879
2485	19589	15870
2486	19596	15861
2487	19602	15852
2488	19611	15844
2489	19617	15835
2490	19624	15826
2491	19631	15818
2492	19639	15810
2493	19651	15806
2494	19661	15800
2495	19671	15793
2496	19681	15787
2497	19689	15780
2498	19695	15770
2499	19702	15761
2500	19708	15752
2501	19715	15743
2502	19721	15734
2503	19727	15725
2504	19734	15716
2505	19740	15707
2506	19747	15698
2507	19753	15689
2508	19760	15680
2509	19769	15673
2510	19775	15664
2511	19782	15655
2512	19788	15646
2513	19794	15637
2514	19801	15628
2515	19807	15619
2516	19814	15610
2517	19820	15601
2518	19827	15592
2519	19834	15584
2520	19842	15576
2521	19849	15568
2522	19856	15559
2523	19863	15550
2524	19869	15541
2525	19876	15532
2526	19882	15523
2527	19889	15514
2528	19895	15505
2529	19901	15496
2530	19908	15487
2531	19915	15479
2532	19922	15470
2533	19929	15462
2534	19935	15453
2535	19941	15443
2536	19948	15435
2537	19955	15426
2538	19962	15418
2539	19969	15409
2540	19975	15400
2541	19982	15391
2542	19989	15382
2543	19995	15373
2544	20002	15365
2545	20008	15355
2546	20014	15346
2547	20022	15339
2548	20030	15331
2549	20037	15323
2550	20043	15313
2551	20050	15304
2552	20057	15296
2553	20064	15288
2554	20072	15280
2555	20078	15271
2556	20085	15262
2557	20092	15253
2558	20098	15244
